Year,Zip_Code,county,Age_Group,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V
2013,90001,Los Angeles,All Ages,441,85.1
2013,90002,Los Angeles,All Ages,425,79.1
2013,90003,Los Angeles,All Ages,594,88.1
2013,90004,Los Angeles,All Ages,270,49.5
2013,90005,Los Angeles,All Ages,128,34.6
2013,90006,Los Angeles,All Ages,252,43.4
2013,90007,Los Angeles,All Ages,185,65.3
2013,90008,Los Angeles,All Ages,304,96.7
2013,90011,Los Angeles,All Ages,707,69
2013,90012,Los Angeles,All Ages,69,29
2013,90013,Los Angeles,All Ages,118,118
2013,90014,Los Angeles,All Ages,79,113.3
2013,90015,Los Angeles,All Ages,129,72.2
2013,90016,Los Angeles,All Ages,377,81
2013,90017,Los Angeles,All Ages,146,63.8
2013,90018,Los Angeles,All Ages,341,67.5
2013,90019,Los Angeles,All Ages,366,59.1
2013,90020,Los Angeles,All Ages,112,32.9
2013,90021,Los Angeles,All Ages,58,174.4
2013,90022,Los Angeles,All Ages,436,65
2013,90023,Los Angeles,All Ages,303,62.3
2013,90024,Los Angeles,All Ages,56,21.6
2013,90025,Los Angeles,All Ages,58,15.9
2013,90026,Los Angeles,All Ages,261,42.1
2013,90027,Los Angeles,All Ages,170,41.7
2013,90028,Los Angeles,All Ages,190,76.4
2013,90029,Los Angeles,All Ages,214,57.9
2013,90031,Los Angeles,All Ages,148,35.8
2013,90032,Los Angeles,All Ages,244,53.9
2013,90033,Los Angeles,All Ages,445,91
2013,90034,Los Angeles,All Ages,153,30.9
2013,90035,Los Angeles,All Ages,73,24.6
2013,90036,Los Angeles,All Ages,93,29.2
2013,90037,Los Angeles,All Ages,522,83.9
2013,90038,Los Angeles,All Ages,97,40.4
2013,90039,Los Angeles,All Ages,131,50.2
2013,90040,Los Angeles,All Ages,85,86.1
2013,90041,Los Angeles,All Ages,102,36.3
2013,90042,Los Angeles,All Ages,267,44.3
2013,90043,Los Angeles,All Ages,459,105.2
2013,90044,Los Angeles,All Ages,979,103.5
2013,90045,Los Angeles,All Ages,113,33.2
2013,90046,Los Angeles,All Ages,99,24.7
2013,90047,Los Angeles,All Ages,575,120.4
2013,90048,Los Angeles,All Ages,43,21.1
2013,90049,Los Angeles,All Ages,29,8.2
