name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Buck Fire,Humboldt,16,2015,7/31/2015,7/28/2015,7,3,340,4
Keswick Fire,Shasta,18,2015,7/8/2015,7/7/2015,7,1,638,7
Pleasure Fire,Napa,19,2015,6/28/2015,6/27/2015,6,1,33226,4
Bald Fire,Humboldt,20,2015,6/11/2015,6/10/2015,6,1,340,4
Spider Fire,Riverside,21,2015,7/12/2015,7/12/2015,7,0,1570,3
Gibraltar Fire,Santa Barbara,21,2015,11/9/2015,10/29/2015,10,11,73,2
Grade Fire,Lake,22,2015,8/25/2015,8/24/2015,8,1,95664,5
Soda Fire,Mendocino,23,2015,7/5/2015,7/4/2015,7,1,108,3
Dorris Fire,Siskiyou,24,2015,7/22/2015,7/21/2015,7,1,405,3
Lake Fire,San Diego,25,2015,7/17/2015,7/16/2015,7,1,523,6
Betabel Fire,San Benito,25,2015,7/20/2015,7/20/2015,7,0,715,2
Park Fire,San Diego,25,2015,7/25/2015,7/24/2015,7,1,523,6
Baxter Fire,Placer,26,2015,7/22/2015,7/22/2015,7,0,26,1
Francis Fire,Yuba,30,2015,8/5/2015,8/3/2015,8,2,188,2
Kramer Fire,Lassen,30,2015,8/30/2015,8/29/2015,8,1,10700,4
McCourtney Fire,Nevada,30,2015,9/22/2015,9/21/2015,9,1,2334,2
Covelo Fire,Mendocino,35,2015,6/29/2015,6/28/2015,6,1,108,3
Browns Fire,Trinity,35,2015,9/10/2015,9/8/2015,9,2,1705,3
Chiles Fire,Napa,38,2015,6/17/2015,6/16/2015,6,1,33226,4
Ascot Fire,Solano,40,2015,7/10/2015,7/10/2015,7,0,190,2
Sullivan Fire,Stanislaus,40,2015,7/28/2015,7/28/2015,7,0,40,1
Center Fire,Lassen,40,2015,9/10/2015,9/9/2015,9,1,10700,4
Mendocino Lightning Fires,Mendocino,50,2015,8/3/2015,7/30/2015,7,4,108,3
Potrero Fire,Ventura,50,2015,11/7/2015,11/7/2015,11,0,1438,2
White Fire,Santa Barbara,52,2015,8/3/2015,8/1/2015,8,2,73,2
Mill 2 Fire,San Bernardino,54,2015,7/21/2015,7/12/2015,7,9,35818,5
Fork Fire,Tehama,55,2015,6/17/2015,6/17/2015,6,0,335,3
De Luz Fire,San Diego,55,2015,8/10/2015,8/9/2015,8,1,523,6
Summit Fire,San Bernardino,55,2015,9/11/2015,8/23/2015,8,19,35818,5
Point Fire,Shasta,59,2015,8/4/2015,8/3/2015,8,1,638,7
North Fire,Amador,60,2015,6/17/2015,6/16/2015,6,1,60,1
Dixie Fire,Lassen,60,2015,6/20/2015,6/19/2015,6,1,10700,4
Pass Fire,Kern,67,2015,6/15/2015,6/15/2015,6,0,67,1
Olive Fire,Butte,72,2015,9/3/2015,9/2/2015,9,1,72484,5
Kyburz Fire,El Dorado,75,2015,7/29/2015,7/23/2015,7,6,75,1
Mallard Fire,Shasta,75,2015,7/31/2015,7/29/2015,7,2,638,7
Fern Fire,Shasta,75,2015,8/4/2015,8/2/2015,8,2,638,7
