"","objectid","year","state","agency","unit_id","fire_name","alarm_date","cont_date","cause","objective","gis_acres","complex_name","shape_area","shape_length","fire_days"
"1",285,2022,"CA","CDF","BDU","AIRPORT",2022-02-16,2022-02-26,14,1,4140.06,NA,26508134.59,85420.83522,10
"2",286,2022,"CA","CDF","BTU","DENIZ",2022-05-24,2022-05-24,14,1,29.84678,NA,202389.0859,2631.420753,0
"3",287,2022,"CA","CDF","TGU","RANCHO",2022-06-13,2022-06-19,14,1,589.8671,NA,4071594.289,13299.52201,6
"4",288,2022,"CA","CDF","CZU","TOWER",2022-06-03,2022-06-03,7,1,28.68488,NA,185603.0039,2034.754555,0
"5",289,2022,"CA","CDF","TGU","BURROWS",2022-06-28,2022-06-29,18,1,309.4793,NA,2120494.129,7454.125266,1
"6",290,2022,"CA","CDF","BTU","NELSON",2022-07-18,2022-07-18,14,1,5.888545,NA,40099.00391,1114.945675,0
"7",291,2022,"CA","CDF","BTU","NINETY-NINE",2022-06-22,2022-06-22,14,1,65.67123,NA,445400.7617,4658.834524,0
"8",292,2022,"CA","CDF","BTU","NELSON",2022-06-30,2022-06-30,14,1,371.4677,NA,2530611.766,11361.9184,0
"9",293,2022,"CA","CDF","BTU","PARK",2022-07-09,2022-07-09,14,1,56.33854,NA,382113.2891,3266.07796,0
"10",294,2022,"CA","CDF","BTU","SANDRA",2022-06-30,2022-06-30,2,1,34.40428,NA,234031.7852,2578.061874,0
"11",295,2022,"CA","CDF","BTU","JAN-DAR",2022-07-04,2022-07-04,14,1,30.50697,NA,207210.3867,2297.12397,0
"12",296,2022,"CA","CDF","BTU","RAIL",2022-05-08,2022-05-08,9,1,9.837949,NA,66774.43359,1418.314799,0
"13",297,2022,"CA","CDF","BTU","CANFIELD",2022-06-23,2022-06-23,14,1,9.554518,NA,65135.02734,1850.448485,0
"14",298,2022,"CA","CDF","SCU","CANYON",2022-06-13,2022-06-13,9,1,16.40938,NA,105358.9063,2236.602945,0
"15",299,2022,"CA","CDF","BDU","HIGHWAY",2022-07-29,2022-07-31,7,1,28.10259,NA,167094.9336,3772.209162,2
"16",300,2022,"CA","CDF","SCU","BRUNS",2022-05-24,2022-05-24,2,1,12.17408,NA,79041.08594,1564.277814,0
"17",301,2022,"CA","CDF","SCU","CANYON",2022-06-23,2022-06-23,9,1,50.373,NA,325599,2557.140821,0
"18",302,2022,"CA","CDF","SCU","DEER",2022-07-18,2022-07-18,7,1,14.51391,NA,94507.52344,1774.282656,0
"19",303,2022,"CA","CDF","SCU","WILLOW",2022-05-20,2022-05-20,2,1,28.56241,NA,186536.043,2205.787831,0
"20",304,2022,"CA","CDF","SCU","HIGHLAND",2022-05-23,2022-05-23,9,1,91.53281,NA,593837.0391,3718.124846,0
"21",305,2022,"CA","CDF","SCU","PASS",2022-05-18,2022-05-18,10,1,65.37904,NA,423776.0195,3956.833327,0
"22",306,2022,"CA","CDF","SCU","MIDWAY",2022-06-21,2022-06-21,10,1,13.50571,NA,87549.99609,1587.230254,0
"23",307,2022,"CA","CDF","SCU","TESLA",2022-06-23,2022-06-23,10,1,551.7821,NA,3567673.48,9866.887445,0
"24",308,2022,"CA","CDF","SCU","KIRKER",2022-06-24,2022-06-24,10,1,84.79446,NA,553173.5078,5517.331407,0
"25",309,2022,"CA","CDF","SCU","FLYNN",2022-07-19,2022-07-19,10,1,173.7565,NA,1125771.41,5923.650081,0
