county,year,avg_acres_burned,avg_fires_per_year,total_acres_burned,total_fires
Alameda,2020,180.5,2,361,2
Amador,2020,34.5,2,69,2
Butte,2020,58.77777777777778,9,529,9
Calaveras,2020,828.5,4,3314,4
Colusa,2020,241,3,723,3
Contra Costa,2020,101.66666666666666,6,610,6
El Dorado,2020,25.2,5,126,5
Fresno,2020,4883.714285714285,7,34186,7
"Fresno, Madera",2020,379895,1,379895,1
Glenn,2020,385.3333333333333,3,1156,3
"Glenn, Mendocino",2020,211,1,211,1
Humboldt,2020,60.5,4,242,4
Imperial,2020,275,1,275,1
Kern,2020,2143.166666666667,6,12859,6
Kings,2020,2060,1,2060,1
Lake,2020,13,1,13,1
Lassen,2020,3710.454545454546,11,40815,11
Los Angeles,2020,3030.692307692307,13,39399,13
Madera,2020,255.33333333333334,6,1532,6
Marin,2020,4929,1,4929,1
Mariposa,2020,108,3,324,3
Mendocino,2020,336.28571428571433,7,2354,7
"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa",2020,1032648,1,1032648,1
Merced,2020,1026.6666666666667,3,3080,3
Modoc,2020,30,2,60,2
Mono,2020,200,2,400,2
Monterey,2020,7013.5,8,56108,8
Napa,2020,40.5,2,81,2
"Napa, Solano, Lake, Sonoma, Yolo",2020,363220,1,363220,1
"Napa, Sonoma",2020,67484,1,67484,1
Nevada,2020,705,1,705,1
Orange,2020,11038.666666666666,3,33116,3
Placer,2020,155.5,6,933,6
Plumas,2020,29570,1,29570,1
Riverside,2020,1861,24,44664,24
"Riverside, San Bernardino",2020,150,1,150,1
Sacramento,2020,1273.2,5,6366,5
San Benito,2020,1149,2,2298,2
San Bernardino,2020,121.4,5,607,5
"San Bernardino, Riverside",2020,22744,1,22744,1
San Diego,2020,2970.833333333333,6,17825,6
San Joaquin,2020,119.5,2,239,2
San Luis Obispo,2020,894.9375,16,14319,16
Santa Barbara,2020,589.5,4,2358,4
Santa Clara,2020,1030.8333333333335,6,6185,6
"Santa Clara, San Joaquin, Contra Costa, Alameda, Stanislaus",2020,396624,1,396624,1
"Santa Cruz, San Mateo",2020,86509,1,86509,1
Shasta,2020,121.5,4,486,4
"Shasta, Tehama",2020,28306.5,2,56613,2
Sierra,2020,23565.5,2,47131,2
Siskiyou,2020,710,4,2840,4
"Siskiyou, Modoc",2020,83261,1,83261,1
Solano,2020,572.75,4,2291,4
Sonoma,2020,124,2,248,2
Stanislaus,2020,109,3,327,3
State of Nevada,2020,2975,1,2975,1
Tehama,2020,213.25,4,853,4
"Tehama, Glenn",2020,19609,1,19609,1
Trinity,2020,58.5,2,117,2
Tulare,2020,465.66666666666663,3,1397,3
Tuolumne,2020,1433.5,2,2867,2
Ventura,2020,1069.25,4,4277,4
Yuba,2020,616.75,4,2467,4
