name,county,acres,long,lat,year,date_end,date_start,days
Buck Fire,Humboldt,16,-123.774,40.1093,2015,7/31/2015,7/28/2015,3.00
Keswick Fire,Shasta,18,-122.4397,40.5953,2015,7/8/2015,7/7/2015,1.00
Pleasure Fire,Napa,19,-122.181878,38.519132,2015,6/28/2015,6/27/2015,1.00
Bald Fire,Humboldt,20,-123.8292,41.1513,2015,6/11/2015,6/10/2015,1.00
Spider Fire,Riverside,21,-117.43942,33.986204,2015,7/12/2015,7/12/2015,0.00
Gibraltar Fire,Santa Barbara,21,-119.63216,34.4828,2015,11/9/2015,10/29/2015,11.00
Grade Fire,Lake,22,-122.53428,38.831478,2015,8/25/2015,8/24/2015,1.00
Soda Fire,Mendocino,23,-123.303,39.0263,2015,7/5/2015,7/4/2015,1.00
Dorris Fire,Siskiyou,24,-121.891226,41.999341,2015,7/22/2015,7/21/2015,1.00
Lake Fire,San Diego,25,-116.73472,33.21407,2015,7/17/2015,7/16/2015,1.00
Betabel Fire,San Benito,25,-121.5681,36.8727,2015,7/20/2015,7/20/2015,0.00
Park Fire,San Diego,25,-116.51684,32.682547,2015,7/25/2015,7/24/2015,1.00
Baxter Fire,Placer,26,-121.1548,38.9361,2015,7/22/2015,7/22/2015,0.00
Francis Fire,Yuba,30,-121.18735,39.33303,2015,8/5/2015,8/3/2015,2.00
Kramer Fire,Lassen,30,-121.194256,41.12362,2015,8/30/2015,8/29/2015,1.00
McCourtney Fire,Nevada,30,-121.194,39.081,2015,9/22/2015,9/21/2015,1.00
Covelo Fire,Mendocino,35,-123.248214,39.7806004,2015,6/29/2015,6/28/2015,1.00
Browns Fire,Trinity,35,41.46,40,2015,9/10/2015,9/8/2015,2.00
Chiles Fire,Napa,38,-122.3415,38.5287,2015,6/17/2015,6/16/2015,1.00
Ascot Fire,Solano,40,-122.1578,38.1029,2015,7/10/2015,7/10/2015,0.00
Sullivan Fire,Stanislaus,40,-121.20324,37.24523,2015,7/28/2015,7/28/2015,0.00
Center Fire,Lassen,40,-120.553075,40.400196,2015,9/10/2015,9/9/2015,1.00
Mendocino Lightning Fires,Mendocino,50,-123.36316,39.43301,2015,8/3/2015,7/30/2015,4.00
Potrero Fire,Ventura,50,-118.879444,34.15,2015,11/7/2015,11/7/2015,0.00
White Fire,Santa Barbara,52,-120.2903,34.9522,2015,8/3/2015,8/1/2015,2.00
Mill 2 Fire,San Bernardino,54,-117.0487863,34.0783472,2015,7/21/2015,7/12/2015,9.00
Fork Fire,Tehama,55,-122.552,40.0133,2015,6/17/2015,6/17/2015,0.00
De Luz Fire,San Diego,55,-117.2886249,33.4115972,2015,8/10/2015,8/9/2015,1.00
Summit Fire,San Bernardino,55,-116.883,34.23,2015,9/11/2015,8/23/2015,19.00
Point Fire,Shasta,59,-122.40546,40.3929,2015,8/4/2015,8/3/2015,1.00
North Fire,Amador,60,-121.135426,38.260777,2015,6/17/2015,6/16/2015,1.00
Dixie Fire,Lassen,60,-121.033667,40.875667,2015,6/20/2015,6/19/2015,1.00
Pass Fire,Kern,67,-120.19482,35.77937,2015,6/15/2015,6/15/2015,0.00
Olive Fire,Butte,72,-121,26.42,2015,9/3/2015,9/2/2015,1.00
Kyburz Fire,El Dorado,75,-120.404,38.776,2015,7/29/2015,7/23/2015,6.00
Mallard Fire,Shasta,75,-122.199227,40.509552,2015,7/31/2015,7/29/2015,2.00
Fern Fire,Shasta,75,-121.93244,40.67868,2015,8/4/2015,8/2/2015,2.00
3-12 Fire,Modoc,77,-121.101623,40.856422,2015,7/25/2015,7/23/2015,2.00
Otay Fire,San Diego,80,-116.9454387,32.6449163,2015,6/26/2015,6/26/2015,0.00
Advance Fire,Tulare,86,-118.9009,36.49845,2015,8/5/2015,7/30/2015,6.00
Sprig Fire,Shasta,90,-122.20109,40.49865,2015,7/31/2015,7/30/2015,1.00
Deer Fire,San Luis Obispo,95,-121.0157,35.7183,2015,7/15/2015,7/10/2015,5.00
Laureles Fire,Monterey,95,-121.7556029,36.5696373,2015,9/21/2015,9/19/2015,2.00
Sterling Fire,San Bernardino,100,-117.243878,34.165974,2015,6/29/2015,6/25/2015,4.00
